"ID","hydro_year","SPEI-12 Hydro avg","SPEI-12 September","SPEI-12 December","SPEI12anual_est","SPEI12sep_est","SPEI12dic_est"
"LL","1991","0.513419355042349","0.755840338911226","0.837404573275868","0.510170759293833","0.689921651376123","0.75626742508134"
"LP","1991","0.605344360629523","0.745075456895213","0.853918678674549","0.614514906648751","0.678994121264283","0.772656171982049"
"LQ","1991","0.544290680184783","0.817009799457615","0.862137929955302","0.545212825150973","0.752015329788143","0.780813030964209"
"ML","1991","0.806218390629668","0.955635585648645","1.03873470634395","0.842527178741946","0.892735632214734","0.956069262037173"
"MP","1991","0.768119129363042","0.941337065492109","1.03609842375843","0.799280676810017","0.878221073733473","0.953452991460608"
"UL","1991","0.985169155553255","1.21626324870694","1.30345469100394","1.04565433511459","1.15730115479189","1.21877975851363"
"UP","1991","0.893657046539338","1.11311670479689","1.23950954734316","0.941778866990171","1.05259615544005","1.15532002214367"
"UQ","1991","0.787476737532624","0.985251780394116","1.05737962539081","0.821253513323692","0.922799302155363","0.974572647589483"
"LL","1992","1.70587973780405","1.81441923908707","1.81102134834961","1.86373349338356","1.76449476701478","1.72249347970261"
"LP","1992","1.54618958475177","1.71843711980099","1.61337842134242","1.68246907294884","1.66706244057249","1.52635085924345"
"LQ","1992","1.67376209700195","1.84708147018444","1.77523684376253","1.82727673362444","1.79765049629313","1.68698061512493"
"ML","1992","1.57388673173253","1.71025252120505","1.5918332640079","1.71390812663626","1.65875417974089","1.50496925109896"
"MP","1992","1.65510177386635","1.82807233125553","1.67998942850239","1.80609538591046","1.77835414564695","1.59245622255506"
"UL","1992","1.82561296254181","1.90316713168961","1.7509892572166","1.99964277253468","1.85458356383893","1.66291709189672"
"UP","1992","1.83782680021294","1.98375470086896","1.80627003888311","2.01350670944266","1.93638874178118","1.71777823740437"
"UQ","1992","1.74947879299727","1.94850670842218","1.81160135644822","1.91322281579978","1.90060818252646","1.72306908496242"
"LL","1993","0.683517370902145","0.62679833759052","0.295999909114499","0.703249153124576","0.558929936555051","0.218972561230445"
"LP","1993","0.958652260818405","0.817832826076806","0.779500185940945","1.01555498669536","0.752850791630704","0.698802589683812"
"LQ","1993","0.546414482523232","0.339067601921996","0.229986911344264","0.547623554883762","0.266851837283501","0.153460667822049"
"ML","1993","0.845773836264754","0.686208563367402","0.687724873848343","0.887426596715033","0.619237799675367","0.60772394356234"
"MP","1993","0.940038339995608","0.77318859503207","0.787447187032875","0.994426310283751","0.707532024705476","0.706689265127079"
"UL","1993","0.923458227182874","0.779685646736824","0.813982240583498","0.975606210970812","0.714127241265794","0.733022891208491"
"UP","1993","0.936336668920981","0.746063693951811","0.820296618164879","0.990224540486695","0.67999728973167","0.739289336378753"
"UQ","1993","0.886230619915342","0.639235463107897","0.661227342597789","0.93334912419032","0.571554976327312","0.581427554949389"
"LL","1994","-0.340242673923659","-0.195094536020798","-0.480866172930657","-0.458821692463552","-0.2753810305075","-0.551996333966255"
"LP","1994","-0.205796678794223","-0.250864081341741","-0.321060177220574","-0.306211935874951","-0.331993205625785","-0.393403424833108"
"LQ","1994","-0.546044119907662","-0.632117517397913","-0.598560741498279","-0.692427078380505","-0.719007052739844","-0.6687974836063"
"ML","1994","-0.233687136665718","-0.320932423575509","-0.358141517622213","-0.337870416909033","-0.40312022016317","-0.430203280950655"
"MP","1994","0.0340140901542064","-0.0674177352653289","-0.103939354500883","-0.03400254026364","-0.145775143256404","-0.177930765278036"
"UL","1994","0.00852367386702931","-0.117020638800688","-0.131930244442882","-0.0629367321760363","-0.196127503942849","-0.205709176503487"
"UP","1994","0.136878166071695","0.00702569405692528","-0.0267116953028089","0.0827585545712507","-0.0702069378327433","-0.101289340885015"
"UQ","1994","-0.0636709418848384","-0.113759329551002","-0.1515574245327","-0.1448848982504","-0.192816919119257","-0.225187366759699"
"LL","1995","-0.304831041295095","-0.616536321877474","0.265845790527304","-0.418625919947998","-0.703190438774657","0.189047342418474"
"LP","1995","-0.0847216431185682","-0.0693720239741282","0.147599041411848","-0.168779566055164","-0.147758959584429","0.0716982038305884"
"LQ","1995","-0.35294616811778","-0.385660398888317","-0.118847660675478","-0.47324143888235","-0.468826179434899","-0.192725902569167"
"ML","1995","-0.0627401214103252","0.0215003667042679","0.186046173366194","-0.143828323185398","-0.0555135653482542","0.10985348378346"
"MP","1995","0.0682233885907214","0.130827235850677","0.290464548284722","0.0048284617490062","0.0554651386313564","0.213479219299216"
"UL","1995","0.220546095060138","0.366651934108018","0.456002352033498","0.17773008767572","0.294852944971385","0.37776042634265"
"UP","1995","0.225113812848203","0.36810284181742","0.461560174955112","0.182914907789781","0.296325774646658","0.38327605985608"
"UQ","1995","0.100171202643896","0.188464789748214","0.327018772536746","0.0410924510296016","0.113973546326974","0.249755960603411"
"LL","1996","0.241229744685731","0.285594510045527","0.0437187911810283","0.201208114906555","0.212570813043377","-0.0313934918994828"
"LP","1996","-0.10771503887924","-0.172082317282895","-0.233546794049486","-0.194879387971044","-0.252021116964127","-0.306554355350348"
"LQ","1996","0.00851669256268764","0.105914468370568","0.00466833270527744","-0.0629446566601775","0.0301759606911616","-0.0701475185249163"
"ML","1996","0.0164361054154646","-0.0160179434981838","-0.0824042439660656","-0.0539553247977937","-0.0935987449045904","-0.156559127668039"
"MP","1996","0.174105403989624","0.188635783491626","0.115926922518163","0.125015222102712","0.114147123638578","0.0402665078454578"
"UL","1996","0.115856735665758","0.0436652064255144","-0.022771659970999","0.0588971121065213","-0.0330138339886599","-0.09737921434325"
"UP","1996","0.14992812554625","0.0844295926093322","-0.00210282812082512","0.0975715740069402","0.00836646696138346","-0.0768672795003942"
"UQ","1996","0.0209619384307077","-0.0329300109112224","-0.0925514240147084","-0.0488180481228586","-0.110766339090438","-0.166629280519698"
"LL","1997","1.86061516510615","2.2172611352581","2.26912171897316","2.03937380065692","2.1734232572826","2.17711641252401"
"LP","1997","1.74467274477271","2.20476076149565","2.29251460275269","1.90776746661666","2.16073401363876","2.20033172103058"
